Series Number,Filename,Name,Description,Gender,Attributes,UUID,Hash
TEAM BEVEL,,,,,,,50080917f5197a0c4064ba583ebf3eccd06d802b74c58a07d4e9e7b70a1bbec2
1,adewale-the-amebo,adewale the amebo,adewale the amebo,male,,cad316c3-37f8-4b27-9f53-9d803bfcfee7,87821cd7127d4f5049fad49769c92a6b682dc5762b999588b38fcbebb2de092a
2,alli-the-queeny,alli the queeny,Alli is an LGBT Stan.,male,,a57ecda4-a26f-4e97-a757-e1800af39aab,eea43482d849e1eae8f50a73613389cbd3a3b2cd9211de3921c90551a2403a63
3,aminat-the-snnobish,aminat the snnobish,Aminat never really wants to talk to anyone.,female,,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,f741a5d75243eeca82770c79ef94981fc497443c38cde4381379d8cc163ad7b2
4,aminu-the-carpenter,aminu the carpenter,"Aminu's hands are blessed, he makes the best furniture in the whole of Kano.",male,,4f30b751-96e7-40fe-97fd-e3d44973ff2f,db0448c06f502c44523dcdbb1c7f8ef0302cac1a66ed6db8d5ee8d40ae79dc62
5,chibuike-the-kudibag,chibuike the kudibag,Chibuike is too rich. Everyone wonders how he got it.,male,,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,d82f75f1be2d50a3b5fb78c2aef59c26dfaea9932c6ce15cc331daf24ce0796e
6,chidinma-the-model,chidinma the model,"From Paris' runways, to London's streets, she's always in demand.",female,,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,6ad37c006f1910b3490ee7d948b0879886e40a4fdffe4600b56fcefc208a39ca
7,chioma-pretty- girl,chioma pretty girl,Chioma's face card is a 100.,female,,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,aacb58c30ae830838889da1eebf4267759ad16aa250d1f6bd59b650f95596e49
8,damilare-the-handsome,damilare the handsome,He's a fine boy. Everyone loves his face(and him).,male,,27eca2dc-d7df-474a-8f8f-1858152c711e,d70d464581f3d372744e5d83da606f5d996f1b82d2330424900b9bf45f92dc94
9,ebiowie-the-planter,ebiowie the planter,Ebiowei has a reputation for nurturing plants.,male,,f1df8270-4d60-4bd4-8959-ba7c384db5c4,c943c858bf12ec88ec624c40cd5f2bbfe5803d8f4d4ab61f7956f2c7ef361c26
10,emeka-the-businessman,emeka the businessman,Emeka only cares about containers. No time to waste.,male,,9b3d75da-4887-4089-aee4-50de3954fdc9,c95cfb96addc14a972b06e1d2aeda4fc1dd5e53f444549ef6a494df3f7619db2
11,gbeminyi-the-monk,gbeminyi the monk,He lives in a monastery off the coast. No one has heard him speak in years.,male,,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,4ef0af120b8cd25c6ddbf6d6961179098762556c8ca198c89941cd1e30d8d2fc
12,henry-the-sportsman,henry the sportsman,He's played every sport known to man. Even cricket.,male,,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,9ba77c25502ddc6445d6af38b946c482beaf921cde897c12c47ea7440e93c77f
13,mayowa-the-smallie,mayowa the smallie,Mayowa is so small but everyone loves him even still.,male,,dfbb4163-df24-4d54-b74c-6218a68df8bd,3e1ada97cff90caf31b14e1b30b09ae25736bc84fbdfb4885f5a243708455d6b
14,muyiwa-the-stylish,muyiwa the stylish,Muyiwa has a motto which is never to be caught unfresh.,male,,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,f356d9da2e32ecc1851438824a89577bcfe8ad151144cf1728f4c0f0c8d72a3d
15,nina-paper-chaser,nina paper chaser,Nina na Igbo girl wey like money. Finish.,female,,59524227-dc52-407c-8cca-e9e8c5fb3018,3c3b42d8a6d19f426d0933512a15dc8b9d67001087131ff97b4002694ebdd8b3
16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,male,,808f7007-6552-4efa-bd13-4b7c337b102b,180e1962a9613cc8b45d77984dcb63d88cf0c90b7aaf64cdd521cec5246fda79
17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,male,,ba3edda7-8940-4ca4-97ba-826398d5909f,cce7295c6a397d8ee3a8f6f6bc4f9847942c770bd479c52e58edd72a359a1bd6
18,tiwa-london,tiwa london,"If she says she's in London and you see her, you're in London too.",female,,78da7aeb-8352-4e25-89ac-dc48b5984089,1be746e8b2220379d0d276398fbf1a366405ce0bb8ccc2e7ee1f7fa4d5adb3f2
19,tunde-yoruba-demon,tunde yoruba demon,"Tunde derives joy in breaking girls heart. It's a lifestyle.""",male,,53b46bd7-a537-402b-b249-0b4074a8faae,5f0f7e9f03d62e29df4a294f19311580c0607ac78e5066c85ec0b694a6174b75
20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,male,,4adb6781-1614-424e-8f77-fe59ffca2209,6f76c8ddfe2ab383e943e22c612d2e49362b7345de391823992171af5c1a87ed
TEAM CLUTCH,,,,,,,1e0801b9bd3ee5733e01201d8b9e76dcb961628e5c0beb4540c128ada42ead4b
21,abdul-the-vibe,abdul the vibe,abdul the life of the party and can never be caught unfresh,male,,770f817a-9d9a-4772-9a91-e66dd9d03470,2eb10a8d0d247ef5ba6fb3f818bd4f814981dbc06415d81b50ce476b1e38214f
22,emeka-the -clown,emeka the clown,"emeka the funny man, always making silly jokes",male,,78810fa6-a7ef-4d83-bf57-caf49db4ee69,c470362845f9d5a19f26e3c5a31c5c0908d64e4903049cb46aa1f0410cb9a37c
23,salam-the-odogwu,salam the odogwu,salam is a big time textile marketer always sourcing for quality materials,male,,f2957ded-022c-4b07-92c6-b345d4816a67,439e065d10e3221f207338645fd444e464a1fe68a9311a5dc65012e4cba8019b
24,24,charles the exporter,charles a business man an importer and exporter never to be caught idle,male,,09395e76-19ed-4852-8748-795ee7496a8e,448b084ccb3b55f612fd5eca0a18805ac47b957df6743b3d9d9009dc34f8de1e
25,wole-the-pimp,wole the pimp,wole knows all the babes in town and is always pimping them out,male,,4d94d4f7-9b69-4e43-9db1-1fe83df92857,82cd04ba9db03281c6740e1ea792e646f312ade707bf3c08375547265f9e61e2
26,saro-the-baller,saro the baller,saro is a baller and is always ready to turnup,male,,d35a7514-8996-42fb-a5f2-5a603ec679c5,0c2e8a677cfe3431d7c025862d20e1c153e4a98e0b4b59fc5c1bdd549c8d94fa
27,ade-omo-yoruba,ade omo yoruba,ade a yourba man takes pride in the yourba tribe,male,,92984fa0-310b-4377-8a10-15965d044383,efad1bf581746187525486c1d56cba08eb485a2d177baf01d6fade18227877f3
28,shola-cool-kid," shola cool kid",shola prefers to be alone because he hates stress,male,,3ac5c186-bc14-4eb6-8567-cc818465a64f,6654f5306acad0a0374fe50e845e85817ff0b72e0a475b46878fca70a43a7ec8
29,charlie-the-smoker,charlie the smoker,charlie uses smoking as a coping mechanism,male,,71a0aa22-d111-43b7-8484-43d87310bc42,acb33d5c8358cb65fecef6ba9f22f70eb7c69e6064ece2df807756b08f5faa43
30,femi-the-badguy,femi the badguy,femi is the biggest guy in lagos and he has served plenty babes breakfast,male,,e493e3fb-a8a0-455a-854f-0f6474bbc69f,41147f6982f11c94f3f34c24757a21f9e176075ac94ed9aae02478564f1da778
31,sinzu-money,sinzu money,sinzu loves spending money on flashy things,male,,942f8347-9932-4331-bd15-d0f3a048b54f,a615eaf6644b245f10d177a97fe99c3a6064a9db6ff29f0c9e52f7abc553a98e
32,obinna-the-palmwine tapper,obinna the palmwine tapper,obinna taps palmwine for a living,male,,0f1af056-2548-4407-bed4-abc11deae05d,30cbbb1ca825b77bc72ee6424890a1c1d91cffae9691699e87f1d3fb9935e1fe
33,aminu-maikudi,aminu maikudi,aminu is a wealthy man from a family with generational wealth. His exquisite taste shows it,male,,0129e7a5-e3d0-4675-92d0-1a1e55d11612,067d10f9c8f6b8fd88c21fd28b963d0a044be44b9c1977de6944f88d9d88c32b
34,sabinus-the-town crier,sabinus the town crier,sabinus delivers messages to his town people,male,,01d4ce96-818e-44b1-8813-68a7d34b35ba,3dcffd0602cc23bcde97dce3a33ebe988263f4f2e9d0f444b290376730cbcbf7
35,adisa-ibadan,adisa ibadan,"adisa the greatest man in the whole town of ibadan, is authority can never be questioned",male,,3a925f27-35f6-4dbf-9960-c6527fae5f3e,600005f471421cca590a5d9c29250e840b5f7db0832396a81ff077136e91090d
36,linda-the-navigator,linda the navigator,linda knows how to make a way for herself and people around her,female,,71f335a6-5a4f-4410-9cea-179336f0e498,71fa6ab92631ed5f1f2e1f22d1ae96e775dbbb14b27a5998a8a9e0438d8604c1
37,kemi-the-iron lady,kemi the iron lady,kemi the strongest woman known to the town of  igbede people,female,,35b11a31-5b92-49f4-8fb1-30f255d22054,e56ffc97fcbdaa1e40d49bfef08e5c3a7af62f6a3296816ad01746846378ca65
38,mercy-the-sassy lady,mercy the sassy lady,mercy only care about spending her father's money and treats people like trash,female,,7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,5586a4682a460c3ed7249ccc0526fbb6edf98a1d1f91709796f20f2efa717164
39,sandra-money,sandra money,sandra likes getting and spending money,female,,1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,cd8ba056b90ae4b4dc6c97f3f806164eb30c30f14f703fab5c548948a0056a93
40,bimpe-the-fashionista,bimpe the fashionista,bimpe loves wearing trendy clothes and looking gorgeous,female,,92b548b7-998b-46b6-8198-80d407209483,882f07bdb98e2d0a7b8c2de46c7aa46f2ac1c313efd618faf7019c78378e1f64
TEAM ENGINE,,,,,,,0466ff37d6374208df27843264ea58c59fa903b630b08d6430166f576183734a
41,kim-rich-aunty,kim rich aunty,she loves spoiling her nieces and nephew,Female,,3344a73c-f15e-4afd-a1b2-3199e27eb08f,76b2b799aeb4158d65b28ab99653aab28b0f696887657ba586bbdf4ca539efbc
42,barbra-vampire-bc,barbra vampire bc,she loves drinking the blood of her victims,Female,,4f31fd99-4918-42a9-a112-fa60ef36d5c6,006326fccd9e35137521daa45aab94cd60cf8092d6099411e51dcb6a311761c3
43,jean-art-dolger,jean art dolger,loves collecting art for charity ,Female,,5e1105d9-e485-462d-a5bf-1eb931976b13,f3f74828ae554779875236502ac0b2cd4d3a7fa37b069f93d66c9f495cf25c43
44,flora-burger- eater,flora burger eater,she loves eating burgers,Female,,054dffd1-cdff-417b-b6c2-a679dabd087b,5b9203abba7f62561851518a0b63310cd94945e0aa88f1d6578f2b4ac2e110a5
45,jessie-lord-rings,jessie lord rings,she seeks her 'precious',Female,,caacabe1-0abc-43af-92e2-2231248bff93,0d6d15a7dbdf03ee2773eaa9cc13b540333a60ce98a271847867ef7b3795c4d2
46,pinky-monky-ponk,pinky monky ponk,she love to dance the honky tonk,Female,,bd6a4b38-543e-40fa-9153-f7e1a947ebb1,91bca153ccdb5211ef9cdb08eb14d29e385eafa4718b0d1e239d1e36349f0cb4
47,wanjiru-hippie-glitter,wanjiru hippie glitter,a hippie that loves her glitters,Female,,683f0d27-3cb4-4948-b1b5-09f10bee575a,73f8ab12b249eb30317ed8b0ce7529e863d9ff4131e45a9ffbb8c949238b5bb0
48,njoki-binary-coder,njoki binary coder,she codes with the best and tops the set,Female,,9b59bdb4-0c6c-4107-9d72-6d38d308edb4,347161732f22524513d8d95dd14e21b3a6845e259c37281345eda18046f9cfd2
49,wangu-calaba-hustler,wangu calaba hustler,she's a mean hustler so be careful,Female,,67f7da93-3925-4def-b660-58f558c14a19,288df82b6e456476e6af98b6c0056cd7c7a3912e00c22589cadc4323f64bd031
50,lulu-dey-kpako,lulu dey kpako,she's as skinny as she is beautiful,Female,,23b6c38f-ab84-4565-bfe9-d9eb019c9f29,2ed95df33bc088f98489fedd0748b3f23cf85a12d929ba0c8d1081a45f691521
51,kiki-cala-flier,kiki cala flier,she flies first class and gets the best deals,Female,,d24aefff-c9fc-4ea9-a7cf-1b741076c822,af3d917bf2a5af330f661127e8d83d8140205886ec5814f561d6c58e647bb999
52,purity-nft -investor,purity nft investor,she is an angel investor looking for the next big thing,Female,,ee86ef77-4793-411a-88d3-ea54d84f6b24,81b81861e6e066c3238e1ddfbbd71254f941df920f3787297dd66bbabb63cd3e
53,june-binary-monk,june binary monk,she has a twin thats from Tibet ,Female,,102c4cdb-f812-44fd-bf47-5065284c6075,afa67996bf90e91b28c5a53af81e22a1a09c954b57e87e2250de326f8e791272
54,aisha-crows-damsel,aisha crows damsel,she is always a damsel in distress,Female,,c4071af3-b49e-4ad6-898b-7828f90465fb,5e3b496dc742002a7847c30f38c295a6878823a7026dafbd648ec470fe2b10da
55,bobo-crypto-lovely,bobo crypto lovely,she is a crpto guru you can trust all through,Female,,427ea0f5-30a3-4d70-a5bd-a6106409b83c,22b3356102a29b46ee3810544406e5be10da29d33a64f7fa2dbcc5ae34a45707
56,nell-light -embrace,nell light embrace,she is an empath; ready with a kind word or hug,Female,,9dfe30b4-c71a-471c-8091-f5c4a238eed8,9cffc89a25e758940c5452cebe75dc2609eac438bcefbf279128fd3e57a6a98a
57,rachel-mood-silent,rachel mood silent,"introvert  to the core, a mysterious lady",Female,,11450acd-f0d7-406f-bc18-bdb680404845,5ab074e9f8a855fe935eb4415843fd313bc27f327ebb6814e1b69c088ad89b1b
58,nana-reflector-agent,nana reflector agent,she loves her chrome fashion stye,Female,,63bda633-bfca-4b28-823f-7772936b4103,9458624f308a1e1ad5605ee8f7c900ffdf2485401b1c625fe77012a44ccf305d
59,bree-busy-gossip,bree busy gossip,"never wisper your secrets to her, except you want the world to know",Female,,4f5898d9-fc99-4053-a56c-b2ec1ef41347,a9a7d0ba9a99938731bc34f8d4a4db7861aafd8f9896bb472ef8f0f08fb0cf61
60,jude-shadow-fighter,jude shadow fighter,"a ninja warrior, the last samurai standing",Female,,a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,701107661b90f7a571a832e7f50c8101b4cb0f1773dc768f47f02251ffae096a
,,,,,,,83355207526f3aa4501fa67ac0878eeec53ac0391b1c1499df8b13956d0fe9c0
TEAM GRIT,,,,,,,7e2ef8baaf5baf4b9f25983abc07700b714194cca53210cf873a6b27ee2f65cb
61,toy-soldier,toy soldier,a man stronger than an army,male,"hair: bald, strengths: powerful, weakness: sentimental",fc8ea3ac-59d1-11ed-9b6a-0242ac120002,d398e5bbc270f333fa6bfb6a17ab18b5960013da6abe208b9becba39f0f8ea97
62,pipey-rivers,pipey rivers,a man who loves the water so much and fixes its path,male,"hair:bald, strengths: calculative, weakness: public speaking",58f69cae-59d1-11ed-9b6a-0242ac120002,11a25ec2dc9e506d6d1276a123261fdbc3fc8c8f800857c5a2af728efc3e547a
63,phiri-of-zambia,phiri of zambia,an african woman with strength and beauty,female,"hair: two purple bun, strengths: free spirit weakness: blind ",24b537fa-59d3-11ed-9b6a-0242ac120002,5c88defc4a7daec3df0419be6bd8d2827e033a8ed0c4d3d840895b1efd5bccf8
64,patrick-of-bikinibottom,patrick of bikinibottom,a white man who loves the African culture and associates with their dressing,male,"hair: bald, strengths: adaptation, weakness: fluency",064c7b84-59d3-11ed-9b6a-0242ac120002,2610fc9731c645baeaad39465e773df35f7e7e7fa304641e3aaff278867e328a
65,nobuhle-of-zulu,nobuhle of zulu,a woman well endowed with beauty,female,"hair: brown bun, strengths: cool headed, weakness: pressure",1ee5b1ce-59d3-11ed-9b6a-0242ac120002,c19efe4d72c21813789cc65659eccf38ee314dcc3caddc673281e40f41111f2f
66,nkosazana-of-xhosa,nkosazana of xhosa,an african princess always proud of her culture,female,"hair: ginger afro, strengths: confidence, weakness: endurance",2f1a1724-59d3-11ed-9b6a-0242ac120002,7325cda9b36d36beae341939de57d6340a6152ac184a30ca136bdc6516f35fa8
67,mandla-of-zulu,mandla of zulu,a simple and an introvert who keeps to himself,male,"hair: bald, strength: strong willed, weakness: relationship",d04553b2-59d7-11ed-9b6a-0242ac120002,d003a7dd0b5f4c4c1244aac366fe5e018c9a828c298ed32a8a0f569ed94fdf6b
68,john-doe,john doe,a principled guy who is conscious of his health and ensures protection from infection,male,"hair: bald, strength: cleaniness, weakness: perfectionist",5d19795e-59d2-11ed-9b6a-0242ac120002,5da71bf9989249dde6047565d47756c1c7786854377ca4d037328632c5c8b2c1
69,ghost-of-power,ghost of power,a woman stronger than ten men combined,female,"hair: black tied with scalf, strength: badass weakness: cancer",29c764ca-59d3-11ed-9b6a-0242ac120002,bb1067232a2d44ab6aa78ff3125a85cab97d749e4c25bea1b0351773d929030f
70,freida,freida,a man who is always peaceful,male,"hair: bald, strength: peaceful weakness: anger",ee671c4a-59d2-11ed-9b6a-0242ac120002,a1cfa4431dc8f4a8b35dbd0db198a18a6de6c021d4966887cf856b0228a96c1f
71,flamboyant-tree,flamboyant tree,beautiful african woman,female,"hair: one bun dark brown, strength: beauty, weakness: lover girl",380e4990-59d3-11ed-9b6a-0242ac120002,ed5a2b712c980e9ab6fe1bac45cd0c35067a25ee9c8dc8e0bb7fc2608a921d42
72,david-of-accra,david of accra,a combatant who fights and defends his people,male,"hair: bald, strength: super powerful, weakness: sleeping",1c1ef1b4-59d1-11ed-9b6a-0242ac120002,e9fd20eaae79104cf6f87bac01f9b05f93d89dc2a89af5164d5ffc48963bcf64
73,cally-lily,cally lily,a man who is a breath of fresh air,male,"hair: male, strength: calm weakness: sun",82bba87c-59d1-11ed-9b6a-0242ac120002,efb9fed99eab50a306ef649180b7061c8141139ab301a14eb2eec101c2d3805f
74,bubune-of-accra,bubune of accra,"a man with honor, always conscious of his health",male,"hair: bald, strength: clean weakness: foodie",faa4b530-59d2-11ed-9b6a-0242ac120002,dd8b4160eac057c90c7665af579dc14b48405499ca7452087ecc77fd55f37d23
75,bediako-of-accra,bediako of accra,a strong man always ready to fight for what is right,male,"hair: bald, strength: activist, weakness: irrational",fb6e8222-59d0-11ed-9b6a-0242ac120002,52ed2c40cc1c15996ba4f84dc8b5a909249098dce910121734cf716051088efc
76,avatar-aang,avatar aang,a man who is ready to save the world,male,"hair: bald, strength: mind games, weakness: insomia",169f93a0-59d2-11ed-9b6a-0242ac120002,1ec7c6ab42089b83981d4fe8b0c4bb38d60f27ff48bd29b6ff8d54e98dd2760c
77,argus-greek,argus greek,a man who you will always find on the look out ,male,"hair: bald, strength: strong , weakness: lateness",e7f26b26-59d2-11ed-9b6a-0242ac120002,029f4337547352cefa934fcbaeb04906e0419ebb0d1d150b6dd7ad065898e17a
78,amahle-of-zulu,amahle of zulu,"A traditional man, feeling fulfilled",male,"hair: bald, strength: conversationist, weakness: traditionalist",169f93a0-59d2-11ed-9b6a-0242ac120002,ed54aeaeb9212e672286cea81a74e9237c2eedfd7195f6a5333551e2049833bd
79,agnar-ole,agnar ole,a man who feels like an outcast and always has a battle with his mind,male,"hair: bald, strength: strong willed, weakness: crying",f3f11fd0-59d2-11ed-9b6a-0242ac120002,4275551e1e5abd14a280ec1d39448fe7557cb15f119dc026a07303673edff398
80,adom-kulu,adom kulu,"a Ghanaian model, proud of his culture",male,"hair: bald, strength: height,  weakness: pride",00f6589e-59d3-11ed-9b6a-0242ac120002,697365e2bc921caa97f805c228275981fbe707d54fb7ac4b18cfba2d60f355ad
,,,,,,,83355207526f3aa4501fa67ac0878eeec53ac0391b1c1499df8b13956d0fe9c0
TEAM PRYBAR,,,,,,,0aeec8cdd14f480c2d417f2ca891184d72f139e5346498b311dcf31688af102a
81,segun-baller,segun baller,,,,58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1,ca0a340323acef2d10657e06d3d338141afff49a928fccd53888fc40139c854c
82,bolanle-pepper-dem,bolanle pepper dem,,,,46966104-775b-4443-90bb-b35afd121653,29cf9f8dd159158c4cf81bca589251ccd6bc495dbe7b5a679bbea7db417caafe
83,tayo-tailor,tayo tailor,,,,70828783-ac38-48cf-b966-cfebc92ebd86,fca96e7bbe7a7b93286b45c51956f056cbe448afdf88fe4b5b12fcbdfc36c3ad
84,ajasco-comedian,ajasco comedian,,,,8bebdb3a-f0a8-47ba-892f-39aa275fbd0d,d964e26f88586f2d7f8dae2602b004400ea6fe12293a9f023d7d2117f61dd8a1
85,tobi-babyboy,tobi babyboy,,,,3da592d4-5dec-4bc5-8412-f1b2a0269f95,37db32a751dcdab7db69080766575a108dbf0cb0ffb7c185818cd1e17c06c866
86,esther-sassy,esther sassy,,,,0642a25a-966d-446f-b021-a6d18e7fa0c5,95a0e738908e7ff68cd8b4e9b56991096cabe8eb71f454bf6aad08dc94d70ee6
87,ozo-fineboi,ozo fineboi,,,,fdb0a5b6-7367-48bb-bd6b-720ec8c15226,69faf62d1a8bd252f9df585bba9ee79ed526088c45a40a8fdb8ca73e019f6360
88,ade-party-girl,ade party girl,,,,7e3db30c-9faf-430d-ab48-b854fe0456b9,5ce2aba32399ea30a10a5c8deff0b5be08bad5b9a2f1697e315f6193fb1bc31e
89,john-casco,john casco,,,,2eff88ef-5bc2-4779-917a-533e952e2953,d3a9de71c074836e8d9b53ca6319a17602ba890da81bbb338c1bd57ba54b2ec4
90,agha-uwa,agha uwa,,,,8478a002-1eba-4a05-8b98-7170c6e39254,ff0dad93df1032198a5773e30cdcf98923c715562bd9949860fbf996476fd94a
91,udeme-great,udeme great,,,,d1476409-6f8b-4be9-8c93-24d9123749c5,d934a490b047e8d7a5e0310b83f26356425c9a0019d9b71c26241329419c073f
92,femi-tech-bro,femi tech bro,,,,ba3ec22a-13d5-4e19-9b7f-aac764fda28c,fc2dd806be074b1fd74655723a8672bc1ba19c78441c498e4fa885f1552abd8d
93,sai-baba,sai baba,,,,fdfff369-5b57-4612-9f89-f5d408f24a35,81681cf10536fa4aa344b2ad82019a9b681d26f7d52b145c2ee0706838d9a21b
94,omo-pastor,omo pastor,,,,49e09559-61a6-41ff-811a-272721a7475c,a2666e1f85eb59e0dfca0a6e82414639320565fed6cb54e0420e2ce25e97d47c
95,obi-container,obi container,,,,4b64cf48-94fa-4aed-8cf2-452974b48ee3,5ea65fb7b0e7317ca4ee9d89dfab7264520438eaf26d35d44dc8cb0883003f06
96,erigga-international,erigga international,,,,3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c,af1c9919d073de57e304c2fdab1af3adb516f4dc2c64e8978a8f4e42ba923301
97,ayo-web3-bro,ayo web3 bro,,,,c137ec2b-18cd-4c29-a194-af29ac9e6c1c,c0d63f35854b975b57b839454ec29d5c3aa881fa7890bf8559677e6bc44e9f30
98,phoebe-queen-bee,phoebe queen bee,,,,1277e9c0-81dc-4747-89df-a9d2ae4fcf96,5792c37735c9d1f1987014676f4f7bfb8d84ec353057bc98c15c2e0d2e0612b6
99,rachel-warri-babe,rachel warri babe,,,,19e6af3b-ef2d-46ba-ba05-59fb612ebbee,5287f5b4225f8f15bb7ba04305eb60fd88f36824ac21fdcb90c1f3dbfd505fb6
100,adun-preacher,adun preacher,,,,cc4dfedf-c343-48db-ad67-e39452ec2380,a875805ae7d25c7e516e05f915e1ff08a81ee463a917f71833ee4c86e641a140
,,,,,,,83355207526f3aa4501fa67ac0878eeec53ac0391b1c1499df8b13956d0fe9c0
TEAM CHISEL,,,,,,,f64b2b56b52ce81c7bc83ed9cf5866bffaf64b227b4b5063119c94f8d3eda6c2
101,adebola-omo-oba,adebola omo oba,Adebola loves soft life with her fathers wealth,female,,fbf43611-f267-4cba-bf4b-a3ffdc122589,44baaee0e731e82720ebf8da1d1dbeab87072beacc2b5dd7a0ba954d189e67f6
102,chichi-the-dancer,chichi the dancer,Chichi loves dancing and party,female,,e7c32b06-7022-49b4-bbe5-81e8c1d58583,75c7dc641ed1ad111647e2e680a724f1f0ad00829c1a9ec3d941ed2ddc238233
103,hammed-the-farmer,hammed the farmer,Hammed owns a farm with his family,male,,e57d8985-599e-49da-8d62-fc16b7ac93f2,08ff2ba495144102db6419a0e0eea29590f3116672b1a754e1f0695ac838d5bb
104,farida-the-tivlady,farida the tivlady,Farada is a traditional TIv woman,female,,31d3e229-003e-43c8-ba82-38f49cf58ccb,adac286156aabd9a150ccb00e48f5292537ca7cc9e159e9fbf1159ca246441e3
